,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
231,2020,Ayyappanum Koshiyum,Ayyappan Nair,Biju Menon,,,,1,1,,,,,,,,,Sachi,7.9
0,2020,Ayappanum Koshiyum,Koshi Kurian,Prithviraj Sukumaran,1,,,1,1,,,,,,,,,Sachy,7.9
89,2020,Sufiyum Sujathayum,Rajeev,Jayasurya,,,,1,,,,,,,1,,,Shanavas Naranipuzha,5.5
483,2020,Sufiyum Sujathayum,Sujata's Father,Siddique,,,,1,,,,,,,1,,,Shanavas Naranipuzha,5.5
0,2020,Big Brother,Sachidanandan,Mohanlal,1,0,,1,1,,,,,,,,,Siddique,3.3
480,2020,Big Brother,Shetty,Siddique,1,,,,1,,,,,,,,,Siddique,3.3
338,2020,Halal Love Story,Shereef,Indrajith Sukumaran,,,1,1,,,,,,,,,,Zakariya Mohammed,6.2
485,2021,The Great Indian Kitchen,,Suraj Venjaramoodu,,,,1,,,,,,,,,,Jeo Baby,8.4
88,2021,Vellam:The Essential Drink,Murali,Jayasurya,,,,1,,,,,,,,,1,Prajesh Sen,7.6
484,2021,Vellam:The Essential Drink,Dr.Subramanyam,Siddique,,,,1,,,,,,,,,,Prajesh Sen,7.6
